Time,Average Requests,Upper CI,Lower CI
0,0.128110552764,0.128555863676,0.127665241852
900,0.0414468174204,0.041697048385,0.0411965864559
1800,0.0508865159129,0.0511639842081,0.0506090476177
2700,0.0153752093802,0.0155375156977,0.0152129030628
3600,0.0372424623116,0.0374970716215,0.0369878530017
4500,0.0123869346734,0.0125225302364,0.0122513391103
5400,0.0138412897822,0.0139816057458,0.0137009738187
6300,0.0114635678392,0.0115936138244,0.011333521854
7200,0.0245808207705,0.02477457245,0.0243870690911
8100,0.0101880234506,0.0103226987832,0.010053348118
9000,0.0105958961474,0.0107206219013,0.0104711703935
9900,0.0108165829146,0.0109502768132,0.010682889016
10800,0.0120477386935,0.0121790522955,0.0119164250915
11700,0.00810971524288,0.00822557350547,0.00799385698029
12600,0.0108358458961,0.0109715965587,0.0107000952336
13500,0.00911934673367,0.00923633944378,0.00900235402356
14400,0.0232190117253,0.023403042283,0.0230349811676
15300,0.00761809045226,0.00773158336483,0.00750459753969
16200,0.00954480737018,0.00967260567574,0.00941700906463
17100,0.00786264656616,0.0079748997102,0.00775039342213
18000,0.010878559464,0.0110120727105,0.0107450462175
18900,0.00869262981575,0.00881474372076,0.00857051591073
19800,0.0089757118928,0.00909655391452,0.00885486987107
20700,0.00870519262982,0.00882710985996,0.00858327539967
21600,0.0154995812395,0.0156552841017,0.0153438783774
22500,0.00720519262982,0.00731776399772,0.00709262126191
23400,0.00855025125628,0.00866615770193,0.00843434481064
24300,0.00877470686767,0.00889190875914,0.0086575049762
25200,0.00903140703518,0.00914773251117,0.00891508155918
26100,0.00832956448911,0.00844565420673,0.00821347477149
27000,0.00898576214405,0.00910759689654,0.00886392739157
27900,0.00818969849246,0.00830522966112,0.00807416732381
28800,0.0107374371859,0.0108680543045,0.0106068200674
29700,0.00682579564489,0.006932148485,0.00671944280478
30600,0.0082148241206,0.00832387745992,0.00810577078129
31500,0.00829480737018,0.00841550613281,0.00817410860756
32400,0.00863944723618,0.00875600180205,0.00852289267032
33300,0.00749748743719,0.00761217322773,0.00738280164664
34200,0.00785092127303,0.00796154119704,0.00774030134902
35100,0.00804899497487,0.00816483927398,0.00793315067577
36000,0.00824036850921,0.0083519093658,0.00812882765262
36900,0.00715075376884,0.00725597960882,0.00704552792886
37800,0.00800167504188,0.00811474403566,0.00788860604809
38700,0.00719346733668,0.00729829983431,0.00708863483905
39600,0.0073094639866,0.00741715078608,0.00720177718712
40500,0.00682202680067,0.00692326168212,0.00672079191922
41400,0.00755234505863,0.00765755833479,0.00744713178246
42300,0.00646817420436,0.00657174237922,0.00636460602949
43200,0.00957998324958,0.00970543386736,0.0094545326318
44100,0.00476088777219,0.00484682685738,0.00467494868701
45000,0.00598911222781,0.00609365628017,0.00588456817544
45900,0.00655737018425,0.00666226026928,0.00645248009922
46800,0.00655360134003,0.00665906075243,0.00644814192764
47700,0.00566247906198,0.00575646420414,0.00556849391981
48600,0.00607453936348,0.0061750355189,0.00597404320806
49500,0.00584882747069,0.005948629068,0.00574902587338
50400,0.00598366834171,0.00608487078986,0.00588246589355
51300,0.0052202680067,0.00531066521215,0.00512987080125
52200,0.00531323283082,0.00540375609356,0.00522270956808
53100,0.00498450586265,0.00506963412871,0.00489937759658
54000,0.00564363484087,0.00574057189808,0.00554669778366
54900,0.00439572864322,0.00448074847962,0.00431070880681
55800,0.00533291457286,0.00541948225543,0.00524634689029
56700,0.00453433835846,0.00462179578703,0.00444688092988
57600,0.00538484087102,0.0054803373581,0.00528934438394
58500,0.00357872696817,0.00365520763768,0.00350224629867
59400,0.00423911222781,0.00431754122682,0.00416068322879
60300,0.0040824958124,0.00416455214749,0.0040004394773
61200,0.00433710217755,0.00442481234157,0.00424939201354
62100,0.00377554438861,0.00384748114405,0.00370360763317
63000,0.00395477386935,0.00403638565457,0.00387316208412
63900,0.00356239530988,0.00363793515044,0.00348685546933
64800,0.00395728643216,0.00403375482655,0.00388081803777
65700,0.00277721943049,0.00284540801783,0.00270903084314
66600,0.00328559463987,0.00335663517004,0.0032145541097
67500,0.00344388609715,0.00352117784416,0.00336659435015
68400,0.00298827470687,0.00306104354839,0.00291550586534
69300,0.00319304857621,0.00326668258242,0.00311941457001
70200,0.00265326633166,0.00272039758549,0.00258613507782
71100,0.00263442211055,0.00270074745302,0.00256809676808
72000,0.00288525963149,0.00295069005982,0.00281982920316
72900,0.00220435510888,0.00226820532202,0.00214050489573
73800,0.00237981574539,0.00243926178513,0.00232036970566
74700,0.00214363484087,0.00220379911046,0.00208347057129
75600,0.00270603015075,0.00276930682724,0.00264275347426
76500,0.00190745393635,0.00196330513431,0.00185160273839
77400,0.00237311557789,0.00243849115552,0.00230774000026
78300,0.00202261306533,0.002078798749,0.00196642738166
79200,0.00193718592965,0.00199173027585,0.00188264158345
80100,0.00157244556114,0.00162266979477,0.00152222132751
81000,0.0017918760469,0.00184389390638,0.00173985818742
81900,0.0016541038526,0.00170623686495,0.00160197084025
82800,0.00145519262982,0.00150557058463,0.00140481467501
83700,0.00135301507538,0.00140059945362,0.00130543069713
84600,0.00126088777219,0.00130277494508,0.00121900059931
85500,0.00112353433836,0.00116209332423,0.00108497535249
86400,0.00339949748744,0.0034718510321,0.00332714394277
87300,0.000811557788945,0.000848484011373,0.000774631566516
88200,0.000982412060302,0.0010210461377,0.000943777982907
89100,0.00101256281407,0.00105299818217,0.000972127445967
90000,0.0010364321608,0.00107950875439,0.000993355567221
90900,0.00097864321608,0.00101647267887,0.000940813753292
91800,0.00105234505863,0.00109600744414,0.00100868267311
92700,0.00106030150754,0.00110213353961,0.00101846947546
93600,0.000959798994975,0.000998194481377,0.000921403508572
94500,0.000819095477387,0.000853628007097,0.000784562947677
95400,0.000863484087102,0.000901173887669,0.000825794286535
96300,0.000840871021776,0.000877461041372,0.000804281002179
97200,0.0009405360134,0.000979331273551,0.00090174075325
98100,0.000684254606365,0.000717891247972,0.000650617964758
99000,0.00109631490787,0.0011407127959,0.00105191701985
99900,0.000756700167504,0.000791471246026,0.000721929088982
100800,0.00118132328308,0.00122561996648,0.00113702659969
101700,0.000517169179229,0.00054589471452,0.000488443643938
102600,0.000603433835846,0.00063505351717,0.000571814154522
103500,0.000525963149079,0.000556031284278,0.00049589501388
104400,0.000577889447236,0.000607067722304,0.000548711172168
105300,0.000581239530988,0.000610576747168,0.000551902314808
106200,0.000493299832496,0.000521405733242,0.000465193931749
107100,0.000559882747069,0.000590297785072,0.000529467709065
108000,0.00067797319933,0.000711210118724,0.000644736279936
108900,0.000374371859296,0.000397513114783,0.00035123060381
109800,0.000460636515913,0.000488710639852,0.000432562391974
110700,0.000537269681742,0.000565737537334,0.00050880182615
111600,0.000546901172529,0.000577437129714,0.000516365215345
112500,0.000407872696817,0.000434028795349,0.000381716598286
113400,0.000425460636516,0.000451024489062,0.00039989678397
114300,0.000405778894472,0.000431914628581,0.000379643160363
115200,0.000703936348409,0.000738716944992,0.000669155751825
116100,0.000319095477387,0.000341899910415,0.000296291044359
117000,0.000365577889447,0.000389684057383,0.000341471721512
117900,0.00043216080402,0.000458540310728,0.000405781297312
118800,0.00039824120603,0.000422868687214,0.000373613724846
119700,0.000308207705193,0.000329882096042,0.000286533314344
120600,0.000310720268007,0.000332336122846,0.000289104413167
121500,0.000827051926298,0.000862203723815,0.000791900128781
122400,0.000367671691792,0.000391287365316,0.000344056018268
123300,0.000291876046901,0.000312570275732,0.00027118181807
124200,0.000352596314908,0.000376777351741,0.000328415278074
125100,0.000284757118928,0.000305838064803,0.000263676173053
126000,0.000331239530988,0.000354294306226,0.000308184755751
126900,0.000293969849246,0.000314778641138,0.000273161057355
127800,0.000284757118928,0.000306627648576,0.00026288658928
128700,0.00024162479062,0.000259802155969,0.00022344742527
129600,0.000511725293132,0.000539525456937,0.000483925129328
130500,0.000225293132328,0.000244940393594,0.000205645871063
131400,0.000227386934673,0.000246548146177,0.000208225723169
132300,0.000246231155779,0.000267778496638,0.000224683814919
133200,0.000263819095477,0.000284229802784,0.000243408388171
134100,0.000250837520938,0.000270351174005,0.000231323867871
135000,0.000317001675042,0.000339569763705,0.000294433586378
135900,0.000248324958124,0.000268324472447,0.000228325443801
136800,0.000247068676717,0.000266203285574,0.00022793406786
137700,0.000240368509213,0.000260458472761,0.000220278545664
138600,0.000465661641541,0.000492130475543,0.000439192807539
