0,0,0
10,481,0.100711893
20,617,0.129187605
30,590,0.123534338
40,507,0.106155779
50,484,0.101340034
60,379,0.079355109
70,310,0.064907873
80,230,0.048157454
90,204,0.042713568
100,159,0.033291457
110,155,0.032453936
120,116,0.024288107
130,80,0.016750419
140,64,0.013400335
150,54,0.011306533
160,48,0.010050251
170,46,0.009631491
180,29,0.006072027
190,41,0.00858459
200,23,0.004815745
210,29,0.006072027
220,17,0.003559464
230,16,0.003350084
240,9,0.001884422
250,13,0.002721943
260,9,0.001884422
270,15,0.003140704
280,8,0.001675042
290,6,0.001256281
300,6,0.001256281
More,31,0.006490787
