url,status,bodySize,cacheControl,,
http://adserv.quality-channel.de/images/heftwerbung/spon/WP350_SP_910x110.swf?clickTag=http://adserv.quality-channel.de/RealMedia/ads/click_lx.ads/www.spiegel.de/homepage/center/L30/1301515145/Bottom1/qc/ON01X7005XBEZFUELLER14/ON01X7005XBEZFUELLER14_02.html/53454a7a446c4c373373494142705a61?https://www.spiegel-vorteilspaket.de/20130412/?bannerId=SDHWOEIGEN&clicktarget=_blank,200,11884,0,,
http://adserv.quality-channel.de/images/heftwerbung/spon/WP350_SP_910x110.swf?clickTag=http://adserv.quality-channel.de/RealMedia/ads/click_lx.ads/www.spiegel.de/homepage/center/L30/1672470866/Bottom1/qc/ON01X7005XBEZFUELLER14/ON01X7005XBEZFUELLER14_02.html/53454a7a446c4c373373494142705a61?https://www.spiegel-vorteilspaket.de/20130412/?bannerId=SDHWOEIGEN&clicktarget=_blank,200,11884,0,,
http://adserv.quality-channel.de/images/qcStickySky_on.js,200,1156,0,,
http://adserv.quality-channel.de/images/qcSwf.js,200,1673,0,,
http://adserv.quality-channel.de/RealMedia/ads/adstream_lx.ads/www.spiegel.de/homepage/center/L30/1639916973/x04/qc/ON52X5959XLOGOBOX/ON52X5959XLOGOBOX_09.html/53454a7a446c4c373373494142705a61?_RM_EMPTY_,200,54,0,,
http://adserv.quality-channel.de/RealMedia/ads/adstream_lx.ads/www.spiegel.de/homepage/center/L30/1953964538/x04/qc/ON52X5959XLOGOBOX/ON52X5959XLOGOBOX_10.html/53454a7a446c4c373373494142705a61?_RM_EMPTY_,200,54,0,,
http://adserv.quality-channel.de/RealMedia/ads/adstream_lx.ads/www.spiegel.de/homepage/center/L30/602128475/x55/qc/flash-test/flash11.gif/53454a7a446c4c373373494142705a61?_RM_EMPTY_,200,54,0,,
http://adserv.quality-channel.de/RealMedia/ads/adstream_mjx.ads/www.spiegel.de/homepage/center/1326923404@BottomBottom1Bottom2Bottom3LeftMiddleMiddle1Middle2Middle3Middle4Position1Position2RightRight1Right2Right3Right4Right5RightAutRightEinRightGesRightKarRightKulRightNetRightPanRightPolRightReiRightSpaRightSpoRightUniRightWirRightWisSpezialSub1Sub2Top1Top2TopRightVMiddle2VMiddleVRightx01x02x03x04x05x06x07x08x09x10x11x12x20x21x22x23x70,200,44846,0,,
http://adserv.quality-channel.de/RealMedia/ads/adstream_mjx.ads/www.spiegel.de/homepage/center/1592788489@BottomBottom1Bottom2Bottom3LeftMiddleMiddle1Middle2Middle3Middle4Position1Position2RightRight1Right2Right3Right4Right5RightAutRightEinRightGesRightKarRightKulRightNetRightPanRightPolRightReiRightSpaRightSpoRightUniRightWirRightWisSpezialSub1Sub2Top1Top2TopRightVMiddle2VMiddleVRightx01x02x03x04x05x06x07x08x09x10x11x12x20x21x22x23x70,200,48892,0,,
http://adserv.quality-channel.de/RealMedia/ads/cap.cgi?c=flashspon&e=1d&dv=1,302,0,120,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/default/empty.gif,200,43,0,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON01X6684XLOGOBOXHOME/NEUDE_Logo_Adjustment_Web_140x40.jpg,200,27055,0,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON01X6960XLOGOBOX/immowelt_logo_fin.jpg,200,7859,0,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON01X6971XBILLBOARDHOME01/01_LOTTO_6aus49_171213.swf?clicktag=http://adserv.quality-channel.de/RealMedia/ads/click_lx.ads/www.spiegel.de/homepage/center/L30/296971831/Middle4/qc/ON01X6971XBILLBOARDHOME01/ON01X6971XBILLBOARDHOME01_01.html/53454a7a446c4c373373494142705a61?http://ad3.adfarm1.adition.com/redi?sid=2556775%26kid=573428%26bid=2383778&clicktarget=_blank,200,75154,259200,,
