url,status,bodySize,cacheControl
http://adserv.quality-channel.de/RealMedia/ads/adstream_lx.ads/www.spiegel.de/homepage/center/L30/965678465/x04/qc/ON52X5959XLOGOBOX/ON52X5959XLOGOBOX_11.html/53454a7a446c4c3733334d4141714f48?_RM_EMPTY_,200,336,0
http://adserv.quality-channel.de/RealMedia/ads/adstream_mjx.ads/www.spiegel.de/homepage/center/1043203696@BottomBottom1Bottom2Bottom3LeftMiddleMiddle1Middle2Middle3Middle4Position1Position2RightRight1Right2Right3Right4Right5RightAutRightEinRightGesRightKarRightKulRightNetRightPanRightPolRightReiRightSpaRightSpoRightUniRightWirRightWisSpezialSub1Sub2Top1Top2TopRightVMiddle2VMiddleVRightx01x02x03x04x05x06x07x08x09x10x11x12x20x21x22x23x70,200,44967,0
http://adserv.quality-channel.de/RealMedia/ads/adstream_mjx.ads/www.spiegel.de/homepage/center/1590603599@BottomBottom1Bottom2Bottom3LeftMiddleMiddle1Middle2Middle3Middle4Position1Position2RightRight1Right2Right3Right4Right5RightAutRightEinRightGesRightKarRightKulRightNetRightPanRightPolRightReiRightSpaRightSpoRightUniRightWirRightWisSpezialSub1Sub2Top1Top2TopRightVMiddle2VMiddleVRightx01x02x03x04x05x06x07x08x09x10x11x12x20x21x22x23x70,200,48940,0
http://adserv.quality-channel.de/RealMedia/ads/cap.cgi?c=flashspon&e=1d&dv=1,302,0,259200
http://adserv.quality-channel.de/RealMedia/ads/Creatives/default/empty.gif,200,43,0
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON01X6493XLOGOBOXHOME/immowelt_logo_fin.jpg,200,7859,0
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON01X6684XLOGOBOXHOME/NEUDE_Logo_Adjustment_Web_140x40.jpg,200,27055,0
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON01X6960XLOGOBOX/immowelt_logo_fin.jpg,200,7859,0
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON01X6971XBILLBOARDHOME01/01_LOTTO_6aus49_171213.gif,200,28692,0
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON01X6978XLOGOBOX/logo-monster-neu.jpg,200,9175,259200
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON02X20005XX1/W_RB_1_230_230.gif,200,37158,0
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON02XX6993XX4/logobox_140x40_URL.gif,200,2163,0
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON05XX6993XX3/071_230x230.gif,200,21916,0
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21/HBM_Edition_01_14_230x112.gif,200,33009,0
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21/ON23XX4454XX2013X21_08.html?url=http://adserv.quality-channel.de/RealMedia/ads/click_lx.ads/www.spiegel.de/homepage/center/L30/1724315558/x21/qc/ON23XX4454XX2013X21/ON23XX4454XX2013X21_07.html/53454a7a446c4c3733334d4141714f48?&path=http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21/,200,2092,61
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21/ON23XX4454XX2013X21_08.html?url=http://adserv.quality-channel.de/RealMedia/ads/click_lx.ads/www.spiegel.de/homepage/center/L30/1724315558/x21/qc/ON23XX4454XX2013X21/ON23XX4454XX2013X21_07.html/53454a7a446c4c3733334d4141714f48?&path=http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21/,200,2092,0
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21_A/ON23XX4454XX2013X21_A_12.html?url=http://adserv.quality-channel.de/RealMedia/ads/click_lx.ads/www.spiegel.de/homepage/center/L30/87738598/x21/qc/ON23XX4454XX2013X21_A/ON23XX4454XX2013X21_A_11.html/53454a7a446c4c3733334d4141714f48?&path=http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21_A/,200,2080,0
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21_A/VB_DigiSP_230x112_Dell_Venue.gif,200,19462,0
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON52X5959XLOGOBOX/verivox-neu.png,200,6921,0
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/sp-zaehler-011/zaehler.gif,200,43,0
http://c.spiegel.de/nm_empty.gif?url=http%3A//www.spiegel.de/&referrer=&sp.site=1&sp.atyp=1000&sp.szw=1001&sp.aid=18&sp.channel=18&sp.be=homepage/center,200,43,0
http://c.spiegel.de/nm_empty.gif?url=http%3A//www.spiegel.de/&referrer=&sp.site=1&sp.atyp=1000&sp.szw=1001&sp.aid=18&sp.channel=18&sp.be=homepage/center&sp.vc2=0-3,200,43,259200
http://c.spiegel.de/nm_trck.gif?url=http%3A//www.spiegel.de/&referrer=&sp.site=1&sp.atyp=1000&sp.szw=1001&sp.aid=18&sp.channel=18&sp.be=homepage/center,302,420,0
http://c.spiegel.de/nm_trck.gif?url=http%3A//www.spiegel.de/&referrer=&sp.site=1&sp.atyp=1000&sp.szw=1001&sp.aid=18&sp.channel=18&sp.be=homepage/center&sp.vc2=0-3,302,435,0
http://cdn1.spiegel.de/images/image-199594-hpcolumnright-lyna.jpg,200,16234,259200
http://cdn1.spiegel.de/images/image-427120-hpcpleftcolumn-bbcl.jpg,200,1957,259200
http://cdn1.spiegel.de/images/image-504614-thumb-ispm.jpg,200,11994,259200
http://cdn1.spiegel.de/images/image-573804-hpcolumnright-ykxx.jpg,200,19494,259200
http://cdn1.spiegel.de/images/image-573918-hpcolumnright-flnp.jpg,200,3441,259200
http://cdn1.spiegel.de/images/image-656198-hpcolumnright-tipm.jpg,200,13453,259200
http://cdn1.spiegel.de/images/image-656774-thumb-nsvv.jpg,200,15196,259200
http://cdn1.spiegel.de/images/image-656898-hpcolumnrightsquare-ggou.jpg,200,12503,259200
http://cdn1.spiegel.de/images/image-657094-videothumbmultimedia-ovos.jpg,200,7574,259200
http://cdn1.spiegel.de/images/image-657204-hpcolumnright-zepi.jpg,200,5772,86400
http://cdn1.spiegel.de/images/image-657234-hpcolumnright-ljuq.jpg,200,25227,259200
http://cdn1.spiegel.de/images/image-657324-thumb-jvlg.jpg,200,8962,259200
http://cdn1.spiegel.de/images/image-657344-thumb-fsze.jpg,200,12307,259200
http://cdn1.spiegel.de/images/image-657350-thumb-iysm.jpg,200,11896,259200
http://cdn2.spiegel.de/images/image-590285-hpcpleftcolumn-gomd.jpg,200,10437,259200
http://cdn2.spiegel.de/images/image-656785-thumb-svts.jpg,200,15773,259200
http://cdn2.spiegel.de/images/image-656961-hpcolumnright-qlrz.jpg,200,22603,259200
