18,211003,18,11675584,44,38,1,:2592000:1:4050;,:2592000:1:4050;,:0:6:42912;:315360000:1:48254;:1800:1:2757;:1210129:1:248;:1209875:1:403;:1209774:1:390;:1209622:1:9691;:1210137:1:3476;:1210017:1:19153;:1210014:1:2067;:10800:1:4457;:1210139:1:237746;:1210020:1:4682;:1209769:1:1452;:1210155:1:4843;:1209600:1:2362;:1209903:1:2782;:1200:1:58258;:1210120:1:4390;:28062771:1:9917;:28062772:1:9917;:1209910:1:1875;:1209783:1:2547;:1209984:1:406;:1210043:1:250;:1210172:1:423;:1209661:1:4354;:1209799:1:2548;:1210188:1:4110;:1209939:1:2517;:5184000:1:6598;:1209820:1:76996;:1210160:1:188;:1210093:1:10032;:2592000:1:4050;:1210045:1:331;:1209843:1:253;:28062711:1:9917;:1209978:1:8291;,:0:11:21510;:2592000:4:18004;:1210117:1:6722;:1209607:1:13558;:1209625:1:174123;:1209861:1:212;:1210023:1:2524;:1210024:1:1580;:1209642:1:23153;:1209899:1:2884;:1209773:1:1676;:1209903:1:799;:1209650:1:2067;:1209887:1:44905;:1209923:1:1901;:1209668:1:8622;:1210053:1:10214;:5184000:1:13111;:1210081:1:11977;:1209704:1:9168;:1209705:1:7007;:1209716:1:331368;:1210103:1:512;:1209855:2:17163;
19,211013,19,11675498,58,11,0,,,:0:19:30632;:15552000:2:7536;:13728261:1:1195;:1136263:1:4301;:1136269:1:4915;:1145743:1:3735;:1140624:1:4884;:1136273:1:5345;:1136275:1:3724;:4991000:1:84;:1152536:1:6161;:593309:1:175209;:1145733:1:4041;:1152496:1:5167;:15273506:1:409;:28062629:1:9917;:19926697:1:586;:1145773:1:4818;:1200:1:58072;:10940723:1:732;:1140660:1:4318;:15273332:1:7052;:5313982:1:7808;:1140671:1:5834;:15273413:1:710;:1157577:1:3814;:15273547:1:1706;:15273435:1:5197;:28062690:2:19834;:15273447:1:1129;:14197351:1:538;:15273453:1:14778;:506863:1:181612;:31146096:1:48370;:15078132:1:1313;:1152553:1:3473;:15078137:1:232;:1136271:1:3891;,:0:6:46258;:15552000:4:5454;:604800:1:25453;
20,211005,20,11675607,46,28,0,,,:0:4:42935;:31104000:41:314851;:51884:1:1024;,:0:6:38482;:31104000:20:234871;:311040000:1:3724;:15552000:1:553;
21,211009,21,11675525,125,31,0,,,:0:34:167387;:5184000:1:1150;:4420612:1:11313;:23775243:1:11243;:11817490:1:1531;:31535635:1:14643;:26851349:1:97652;:21943325:1:838;:30:1:43;:30200865:1:1407;:700840110:1:100277;:6406195:1:12493;:5150266:1:35556;:8257093:1:5587;:27303494:1:10073;:30250074:1:1517;:12948572:1:9256;:19363429:1:2072;:30223992:1:1848;:31020187:1:58783;:30163630:1:1481;:30171312:1:1557;:31535288:1:17411;:30192833:1:1880;:31216837:1:24044;:27580616:1:951;:22151378:1:13792;:23701455:1:6135;:30169822:1:1540;:700858088:1:25642;:31535337:1:12978;:30671599:1:7528;:22017778:1:4868;:31535347:1:11447;:27939064:1:97652;:86400:1:43;:31192835:1:1510;:30182154:1:1761;:29679379:1:4157;:28421908:1:2616;:31104284:1:11755;:12837668:1:31578;:27172141:1:6373;:30369071:1:115446;:12888881:1:9320;:30227769:1:1797;:30885855:1:66444;:12645182:1:1392;:31146826:1:103591;:21388107:1:4719;:12901715:1:38327;:14995284:1:5697;:31487829:1:37751;:30469466:1:5717;:31535454:1:12506;:20706147:1:20024;:10611601:1:4786;:31231848:1:10139;:30215018:1:1525;:12315499:1:118143;:30930284:1:11590;:22228337:1:12576;:30182262:1:1400;:31536000:2:33612;:31533443:1:11093;:19026824:1:10605;:5463945:1:11834;:27944333:1:41593;:30182289:1:1838;:30249968:1:1536;:13405851:1:49;:30249900:1:1765;:27944372:1:45471;:30227896:1:1495;:29925822:1:11185;:30249921:1:1738;:30227911:1:1773;:30182349:1:1774;:24439247:1:4947;:31535571:1:10791;:31178203:1:69716;:30249948:1:1420;:8069599:1:589;:11084770:1:10820;:12891110:1:3923;:30243818:1:1827;:31160301:1:7565;:12838384:1:26080;:11758067:1:1556;:31215095:1:66133;:22108669:1:146;,:0:8:17582;:24391557:1:8865;:19564042:1:15395;:22787340:1:8499;:4062095:1:1454;:28545809:1:1731;:29032344:1:5444;:12901789:1:10013;:27190560:1:15043;:31289916:1:6395;:12889025:1:16238;:28211010:1:4055;:30527819:1:11075;:29792979:1:8835;:22543072:1:12716;:22156388:1:11936;:12736892:1:57448;:29534699:1:3235;:30528878:1:5009;:17081071:1:4709;:30528244:1:50409;:28244982:1:14485;:30562556:1:4093;:17800063:1:1631;
22,211018,22,11675577,17,10,0,,,:0:4:38396;:691200:4:77745;:31536000:8:453720;:31412977:1:20819;,:0:1:34388;:31536000:9:439055;
23,211008,23,11675587,35,12,0,,,:0:9:5949;:345600:10:144787;:1200:1:58072;:28062681:1:9917;:604800:13:63213;:28062619:1:9917;,:0:6:7255;:604800:6:100393;
24,211020,24,11675508,285,28,1,:0:1:5616;,:0:1:5616;,:5184000:59:366019;:7776000:42:2847408;:900:1:408;:5:1:744;:0:80:235035;:31040271:1:4792;:86400:1:2793;:315360000:20:232479;:5400:1:6972;:30:2:4815;:7200:4:17785;:31536000:17:59371;:259200:2:5133;:31098797:1:2699;:31081392:1:768;:50:1:2823;:1296000:6:94046;:31098427:1:12232;:60:3:10707;:31040587:1:1386;:80:1:155099;:600:21:99244;:604800:2:37753;:31104000:1:37795;:2592000:3:53127;:240:2:6215;:120:10:9306;,:0:4:20773;:5184000:4:92222;:31536000:13:155475;:70:3:15463;:120:2:2980;:7776000:2:44910;
25,211010,25,11675611,17,10,0,,,:0:4:38046;:691200:4:77732;:31536000:8:485668;:31412985:1:21558;,:0:1:34103;:31536000:9:448300;
26,211015,26,11675534,37,15,4,:31536000:1:11742;:43200:1:15675;:1209600:1:1140;:0:1:3028;,:31536000:1:11742;:43200:1:15675;:1209600:1:1140;:0:1:3028;,:0:12:25560;:2592000:20:353355;:31536000:3:552814;:43200:1:15675;:1209600:1:1140;,:0:5:19448;:2592000:5:74116;:31536000:3:348600;:43200:1:15675;:1209600:1:1140;
27,211028,27,11675579,19,127,0,,,:0:7:8041;:31536000:7:468125;:1200:1:58070;:43200:1:15675;:28062678:3:29751;,:0:10:46777;:31536000:82:2732043;:763564386:4:86486;:763564387:3:194946;:763564391:2:98417;:763564392:2:260531;:763564393:6:386012;:1200:1:58072;:43200:1:15675;:5295661:1:2724;:28060541:1:9917;:763564385:6:500302;:3844368:1:10633;:763832968:1:14648;:28060562:1:9917;:763612163:2:195019;:28060476:1:9917;:763564381:1:64391;:763564382:1:142220;
