expAge,respSize
0.0,0.6108324071014449
1.0,0.6118087055784193
2.0,0.611893818778976
3.0,0.6119589053441076
4.0,0.6120490252035206
5.0,0.6121491583806461
6.0,0.6121942183103526
7.0,0.6125747243834297
8.0,0.6126348042897051
9.0,0.6126748575605553
10.0,0.6130353369982073
11.0,0.613065376951345
12.0,0.6130803969279138
13.0,0.6131054302221952
14.0,0.6131254568576203
15.0,0.6132556299878835
16.0,0.6132956832587337
17.0,0.6133257232118714
18.0,0.6133858031181467
19.0,0.6134208497301407
20.0,0.6135309962249788
21.0,0.6135660428369727
22.0,0.6136161094255355
23.0,0.6136411427198168
24.0,0.6136661760140982
25.0,0.6136761893318108
26.0,0.6137112359438047
27.0,0.6137312625792298
28.0,0.6137613025323675
29.0,0.613806362462074
30.0,0.6172158971431999
31.0,0.6172509437551938
32.0,0.6172809837083315
33.0,0.6173360569557506
34.0,0.6173711035677445
35.0,0.6173911302031696
36.0,0.6174211701563073
37.0,0.6174662300860138
38.0,0.6175112900157202
39.0,0.6175513432865705
40.0,0.6176214365105583
41.0,0.6176614897814086
42.0,0.6177015430522588
43.0,0.6177365896642527
44.0,0.6177766429351029
45.0,0.6178367228413782
46.0,0.6178767761122285
47.0,0.6179018094065098
48.0,0.617921836041935
49.0,0.6179568826539289
50.0,0.6179919292659228
51.0,0.6180470025133419
52.0,0.618067029148767
53.0,0.6181020757607609
54.0,0.6181521423493237
55.0,0.6181871889613176
56.0,0.6182022089378865
57.0,0.6182372555498804
58.0,0.6182773088207306
59.0,0.618302342115012
60.0,0.6241050597294392
61.0,0.6241300930237206
62.0,0.6241401063414331
63.0,0.6241501196591457
64.0,0.6241751529534271
65.0,0.6241851662711396
66.0,0.6242001862477085
67.0,0.6242202128831336
68.0,0.6242502528362712
69.0,0.6242552594951275
70.0,0.6243103327425465
71.0,0.6243153394014028
72.0,0.6243253527191154
73.0,0.6243353660368279
74.0,0.6243503860133968
75.0,0.6243704126488219
76.0,0.6244104659196721
77.0,0.6244304925550972
78.0,0.6244505191905223
79.0,0.6244555258493786
80.0,0.62448055914366
81.0,0.6244855658025162
82.0,0.6244955791202288
83.0,0.6245105990967976
84.0,0.6245306257322227
85.0,0.6245406390499353
86.0,0.6245606656853604
88.0,0.6245856989796418
89.0,0.6245957122973543
90.0,0.6247208787687613
91.0,0.6247308920864738
92.0,0.6247459120630426
93.0,0.6247559253807552
94.0,0.6247759520161803
95.0,0.6247859653338929
96.0,0.6247909719927491
97.0,0.6248109986281742
98.0,0.6248160052870305
99.0,0.6248360319224556
100.0,0.624861065216737
101.0,0.6248760851933058
102.0,0.624896111828731
103.0,0.6249211451230123
104.0,0.6249862316881439
105.0,0.6250162716412816
106.0,0.6250362982767067
107.0,0.6250513182532755
108.0,0.6250613315709881
109.0,0.6250713448887006
110.0,0.6250863648652695
111.0,0.6251113981595509
112.0,0.6251264181361197
113.0,0.625131424794976
114.0,0.6251464447715448
115.0,0.6251664714069699
116.0,0.6251714780658262
117.0,0.6251915047012513
118.0,0.6252065246778201
119.0,0.6252265513132452
120.0,0.6265132626393088
121.0,0.6265583225690153
122.0,0.6265733425455842
123.0,0.626643435769572
124.0,0.6266935023581348
125.0,0.6267085223347036
126.0,0.6267385622878413
127.0,0.6267485756055539
128.0,0.6267535822644101
129.0,0.6267585889232664
130.0,0.626768602240979
131.0,0.6267736088998352
132.0,0.6267886288764041
133.0,0.6268336888061106
134.0,0.6268487087826794
135.0,0.6268837553946733
136.0,0.6269087886889547
137.0,0.626913795347811
