expAges,June 15 2013,October 15 2013,March 15 2014
125100,1.52787E-05,3.03591E-05,2.02873E-05
126000,3.56503E-05,4.04789E-05,4.56464E-05
126900,2.03716E-05,3.5419E-05,1.52155E-05
127800,2.54645E-05,2.02394E-05,2.02873E-05
128700,1.01858E-05,2.52993E-05,4.05745E-05
129600,0.000198623,0.00037443,0.000157226
130500,1.01858E-05,1.51796E-05,3.04309E-05
131400,2.03716E-05,2.02394E-05,3.55027E-05
132300,5.09289E-06,1.51796E-05,2.02873E-05
133200,6.11147E-05,4.04789E-05,2.53591E-05
134100,5.60218E-05,1.01197E-05,0.000537613
135000,4.07432E-05,1.01197E-05,3.55027E-05
135900,1.01858E-05,0,1.52155E-05
136800,1.01858E-05,3.03591E-05,2.53591E-05
137700,9.16721E-05,2.02394E-05,1.01436E-05
138600,2.03716E-05,3.03591E-05,3.04309E-05
139500,3.05574E-05,3.5419E-05,2.02873E-05
140400,5.09289E-06,3.03591E-05,5.07182E-06
141300,2.03716E-05,2.52993E-05,1.01436E-05
142200,1.01858E-05,1.51796E-05,1.52155E-05
143100,3.05574E-05,5.05986E-06,2.02873E-05
144000,3.05574E-05,2.02394E-05,1.01436E-05
144900,2.54645E-05,3.5419E-05,5.07182E-06
145800,2.03716E-05,3.03591E-05,2.02873E-05
146700,8.65792E-05,1.51796E-05,3.04309E-05
147600,9.6765E-05,4.04789E-05,1.52155E-05
148500,4.07432E-05,6.07183E-05,1.01436E-05
149400,2.54645E-05,1.01197E-05,3.55027E-05
150300,3.05574E-05,5.05986E-06,2.53591E-05
151200,3.56503E-05,3.5419E-05,2.53591E-05
152100,5.09289E-06,2.52993E-05,2.53591E-05
153000,2.03716E-05,1.01197E-05,1.01436E-05
153900,1.52787E-05,4.55387E-05,4.05745E-05
154800,1.01858E-05,2.52993E-05,9.63645E-05
155700,1.01858E-05,0.000116377,2.02873E-05
156600,1.01858E-05,4.55387E-05,3.04309E-05
157500,5.09289E-05,1.51796E-05,1.52155E-05
158400,5.09289E-06,5.56584E-05,2.02873E-05
159300,1.01858E-05,4.55387E-05,1.52155E-05
160200,5.60218E-05,5.05986E-06,0
161100,4.07432E-05,4.55387E-05,1.52155E-05
162000,1.52787E-05,4.04789E-05,2.02873E-05
162900,2.03716E-05,3.5419E-05,2.53591E-05
163800,2.03716E-05,2.02394E-05,2.02873E-05
164700,1.52787E-05,1.51796E-05,2.53591E-05
165600,2.03716E-05,2.02394E-05,1.52155E-05
166500,1.52787E-05,1.01197E-05,0.000147083
167400,0,2.52993E-05,2.53591E-05
168300,1.52787E-05,3.5419E-05,4.05745E-05
169200,5.09289E-06,7.58979E-05,5.07182E-06
170100,1.52787E-05,4.55387E-05,1.01436E-05
171000,5.09289E-06,2.52993E-05,1.01436E-05
171900,2.54645E-05,0.000121437,3.04309E-05
172800,0.010414969,0.009603611,0.009068409
173700,5.09289E-05,0.000207454,0.00022316
174600,5.09289E-06,3.03591E-05,3.55027E-05
175500,2.03716E-05,1.01197E-05,5.07182E-06
176400,2.54645E-05,1.51796E-05,2.53591E-05
177300,1.01858E-05,2.02394E-05,0
178200,1.01858E-05,5.05986E-06,1.52155E-05
179100,5.09289E-06,5.05986E-06,5.07182E-06
180000,4.5836E-05,2.02394E-05,3.55027E-05
180900,5.09289E-06,5.05986E-06,1.52155E-05
181800,5.09289E-05,1.51796E-05,4.05745E-05
182700,2.03716E-05,3.03591E-05,1.52155E-05
183600,1.01858E-05,4.04789E-05,1.52155E-05
184500,1.01858E-05,1.51796E-05,5.07182E-05
185400,5.09289E-06,1.01197E-05,3.55027E-05
186300,5.09289E-06,5.05986E-06,1.01436E-05
187200,0.000101858,2.02394E-05,7.10054E-05
