Time,Average Requests,Upper CI,Lower CI
0,0.0,0.0,0.0
1000,0.24891675928985535,0.24900433876778374,0.24882917981192695
2000,0.097754052890344237,0.097814449471828352,0.097693656308860122
3000,0.068773678993060847,0.068825257545191601,0.068722100440930092
4000,0.053595602150860608,0.053639412815671986,0.05355179148604923
5000,0.043920524297315439,0.04395993206238788,0.043881116532242997
6000,0.037047993831796314,0.037085523932684668,0.03701046373090796
7000,0.031966134959496122,0.032001229578285897,0.031931040340706346
8000,0.027979102205933876,0.028010848876327463,0.027947355535540289
9000,0.024810247629347016,0.024840990956921417,0.024779504301772615
10000,0.022177385923277958,0.022206055529186735,0.022148716317369182
11000,0.019987513392812448,0.020014302375531094,0.019960724410093802
12000,0.018120099732644415,0.018146697548763972,0.018093501916524857
13000,0.016511249962450073,0.016536557698676003,0.016485942226224144
14000,0.015123293980994707,0.015147192538578857,0.015099395423410556
15000,0.013908568395966634,0.013930904982313266,0.013886231809620002
16000,0.012853965774480062,0.012876430685008537,0.012831500863951587
17000,0.011907647170737067,0.011928737706460456,0.011886556635013678
18000,0.011054131995554085,0.011074328814864219,0.011033935176243952
19000,0.01029642424424484,0.010315560911683719,0.01027728757680596
20000,0.0096080086515065027,0.009626838033326977,0.0095891792696860285
21000,0.0089868024472548463,0.0090051933787810047,0.008968411515728688
22000,0.0084067009122132282,0.0084229356357671467,0.0083904661886593096
23000,0.0079019696195940705,0.0079209576008288634,0.0078829816383592776
24000,0.0074383830494557743,0.0074559309657454718,0.0074208351331660769
25000,0.0069959946729149791,0.0070117013729933059,0.0069802879728366523
26000,0.006592518049005177,0.0066083561732787396,0.0065766799247316144
27000,0.0062372355232459256,0.0062528032831683294,0.0062216677633235217
28000,0.0058898234652087246,0.0059044786426015418,0.0058751682878159074
29000,0.0055801516016301686,0.0055951139728597863,0.005565189230400551
30000,0.0052871318854075923,0.0053017475796997065,0.0052725161911154781
31000,0.0050095326784623572,0.0050231906820033152,0.0049958746749213991
32000,0.0047719366757787889,0.0047863649791051776,0.0047575083724524002
33000,0.0045322779296464288,0.0045454342556891653,0.0045191216036036923
34000,0.0043011204902520354,0.0043139574840149108,0.0042882834964891601
35000,0.0041073427658786209,0.0041188004860537334,0.0040958850457035083
36000,0.003902340112349423,0.0039148752481536426,0.003889804976545203
37000,0.0037219301671222735,0.0037333826105365323,0.0037104777237080147
38000,0.003554697748004842,0.0035659101117077028,0.0035434853843019812
39000,0.0034016742267215403,0.0034135032220195612,0.0033898452314235195
40000,0.0032584036768902652,0.0032700790105024192,0.0032467283432781112
41000,0.003100764016141469,0.0031114573165527972,0.0030900707157301408
42000,0.0029771996755685029,0.0029882109194746044,0.0029661884316624014
43000,0.0028494798081448352,0.0028602027935710596,0.0028387568227186107
44000,0.0027334554958094253,0.0027435697966208877,0.0027233411949979629
45000,0.002610912513643144,0.0026206518314420097,0.0026011731958442783
46000,0.0025112699890854858,0.0025216365137022546,0.002500903464468717
47000,0.0024047783552124322,0.0024147774811515508,0.0023947792292733135
48000,0.0023140877366897993,0.0023232708465273167,0.0023049046268522819
49000,0.0022222956532187811,0.0022316333545394913,0.002212957951898071
50000,0.0021304635164769129,0.0021395225567003282,0.0021214044762534975
51000,0.0020539016892466991,0.0020626878334692564,0.0020451155450241418
52000,0.0019734546947440105,0.0019823587317301518,0.0019645506577578692
53000,0.0018955410696225971,0.001903937879277275,0.0018871442599679193
54000,0.0018262689376871213,0.0018348240946982407,0.001817713780676002
55000,0.001759079575835862,0.0017669219917812147,0.0017512371598905094
56000,0.0016941031571990773,0.0017022367087311952,0.0016859696056669593
57000,0.0016358456747474139,0.0016439898302370829,0.0016277015192577449
58000,0.00157561556870638,0.0015837429107267262,0.0015674882266860338
59000,0.0015146044238837642,0.0015224004004758482,0.0015068084472916801
60000,0.0014614837734186462,0.0014689364261586705,0.0014540311206786218
61000,0.0014103958264491787,0.0014177707039853295,0.0014030209489130278
62000,0.0013681997056084602,0.0013756693591089602,0.0013607300521079602
63000,0.0013206464597915228,0.0013275819308614157,0.0013137109887216298
64000,0.0012779797130183122,0.0012851350613189729,0.0012708243647176515
65000,0.0012309571730401427,0.0012382271448709088,0.0012236872012093766
66000,0.0011865481089849486,0.0011930579126489664,0.0011800383053209309
67000,0.0011415382458670033,0.0011481831634497348,0.0011348933282842718
68000,0.0011109475602551387,0.0011173443342522829,0.0011045507862579944
69000,0.001074449017192867,0.0010811114091766564,0.0010677866252090777
70000,0.0010387515395475974,0.0010454229791461113,0.0010320800999490836
71000,0.0010086515065036502,0.0010150359884616613,0.001002267024545639
72000,0.00097354481460342303,0.00097978452566880279,0.00096730510353804327
73000,0.00093977990727667693,0.00094590266900568059,0.00093365714554767326
74000,0.00091258373636937174,0.00091855747026752801,0.00090661000247121547
75000,0.00089058447735488168,0.00089687602828978979,0.00088429292641997357
76000,0.000860083911602431,0.00086556857328993217,0.00085459924991492984
77000,0.00083584166942032953,0.00084155938993650753,0.00083012394890415154
78000,0.00080184645578619583,0.00080768307305366588,0.00079600983851872578
79000,0.00078411287011725549,0.00078948684886070812,0.00077873889137380285
80000,0.00075459360950063607,0.00076008779851586259,0.00074909942048540954
81000,0.00073623919813351727,0.00074159568942541493,0.0007308827068416196
82000,0.00071399961949392653,0.00071915121495639168,0.00070884802403146138
83000,0.00069119929506243313,0.00069640754768577283,0.00068599104243909342
84000,0.00067116264631960406,0.0006762864856415476,0.00066603880699766052
85000,0.00065509127139094976,0.00066017896601642742,0.0006500035767654721
86000,0.00063243113340743172,0.00063747121502655073,0.00062739105178831272
87000,0.00061802196921906065,0.00062277611241008711,0.00061326782602803419
88000,0.00059593259034515858,0.00060046448334797719,0.00059140069734233997
89000,0.00058107282685972367,0.00058583670832520747,0.00057630894539423987
90000,0.00056358957413359784,0.00056812861051414487,0.00055905053775305081
91000,0.00054447415062032511,0.00054912247752180289,0.00053982582371884733
92000,0.00053151691750027573,0.00053624277917095067,0.00052679105582960079
93000,0.00051640682107202598,0.00052097298700230202,0.00051184065514174994
94000,0.00050442087977009456,0.00050897122566708093,0.00049987053387310818
95000,0.0004880190653569247,0.00049238183039907043,0.00048365630031477902
96000,0.00047571269788819118,0.00048033836448906585,0.00047108703128731651
97000,0.00046140366687694623,0.00046580985602964905,0.00045699747772424341
98000,0.00045073948351307254,0.00045482730253184754,0.00044665166449429753
99000,0.00043904392842480445,0.00044331932119791924,0.00043476853565168965
100000,0.00042670752100293385,0.00043086002446923456,0.00042255501753663314
