33765,0,9
1139,0.5,5
14031.90909,0,11
1625.666667,0,21
985.3333333,0,8
7153.333333,28800,9
4705.894737,31.57894737,19
5809.451613,31004.67742,62
5013.375,16207.5,15
15786.5,27622.08333,33
2753.2,0,17
1955.454545,0,38
892,0,4
6413.666667,0,28
1054.625,12600,30
2548.333333,169128.1667,6
8970.666667,302400,12
2197.75,0,31
34103,0,10
nan,nan,8
10244.42857,86400,11
9621,1200,12
7024.6,8640,15
7658.108108,375956.7568,38
26707.33333,892.0714286,52
34388,0,10
34275,0,9
4357.333333,50,28
34140,0,8
2928.727273,39272.72727,11
34546,0,10
34200,0,10
27527.14286,1408.25,56
93006.64286,49371.42857,52
9825.75,25423.57353,70
10043.66667,3700,127
2063.444444,0,26
4466,10800,31
8560,34560,8
34103,0,9
1357.8,17292,12
6081,15419,23
34327,0,9
34951,0,9
12611.1875,0,32
8346,8640,20
2197.8,18720,41
2950.166667,57600,20
918,0,1
6208.538462,282464.8462,14
7964.285714,6428.571429,21
34159,0,9
7860.041667,7055.416667,39
5287.8,8940,142
6507.685714,46106.54286,59
1603.6,0,30
5035.117647,48388.23529,17
4666.083333,165605,87
3702.608696,9805.521739,58
4599.307692,0,23
27735,6.153846154,82
3727.444444,0,19
6598,0,6
34626,0,10
7829.125,81525,54
5023.8,8640,35
3355,108000,24
3376.153846,10345.07692,17
5320.692308,0,13
6979.6,13140,26
20093.24,61344,32
2539.666667,37858.20833,63
2732.272727,0,18
34072,0,9
35894,0,9
4738.6,251640,15
2412.428571,0,29
34062,0,9
3398.384615,3323.076923,43
37671.1875,457.5,38
7146.518519,51675.55556,35
8975.375,30525,115
4576.944444,31850,42
40879,48656.25,21
21321.28571,87428.57143,7
6463.903846,101733.6154,52
7198,0,12
5139.447059,70192.94118,89
13353.32727,550603.6364,69
5021.285714,6171.428571,44
30953.52632,20996.05263,76
8687.5,33222,8
6033.640625,501759.375,66
12665.16667,7200,40
9292.096774,63264.67742,114
17786.875,75600,29
3768,7200,42
6335.5,15942.85714,115
9459.117284,87962.41358,218
6004.52,12665.08,57
5807.792308,664.6153846,204
3021.333333,0,17
2887.772727,53100,87
5638.916667,14400,33
34398,0,9
34297,0,6
39927.91667,324000,13
5192.857143,6171.428571,13
34108,0,9
10587.91176,22114.02941,42
15217.15385,19358.84615,55
17499.22581,0,64
5448.791667,41425,61
34137,0,5
67008.55,19560,83
3506.833333,9178.458333,68
14105.48718,119188.5641,55
3786.3,8652,17
9441.272727,64145.45455,78
9855.736842,15.78947368,19
42094.5,60,51
9136.5,9387.785714,49
34196,0,9
3927.285714,9257.142857,42
7754.483221,5379.463087,157
2818.541667,3150,24
11021.63429,19813.37143,178
3105.2,17280,12
7982,14400,20
5117,10000,32
5821.972222,80600,77
5106.923077,6646.153846,28
15046.14286,13885.71429,32
6252.166667,21650,82
2813.571429,6171.428571,25
3393,5475,16
3853.555556,134400,11
10544.54206,26572.88785,109
33904,0,10
34245,0,9
680,28800,9
2139.105263,0,19
5015.230769,10246.15385,33
35051,0,10
5819.5625,16987.5,40
7626.953488,52370.23256,47
4547.265306,1970.204082,53
5751.083333,18005,52
1709.75,0,6
6001.03125,143101.875,46
6528.2,8640,41
3045,10950,34
3383.833333,14400,10
9791.2,312120,21
34537,0,9
10232.45455,104353,31
6371.2,8880,18
13988.22222,4800,41
4476.111111,14406.66667,16
8243.43662,6721.802817,121
19288.03571,1542.857143,28
9618.525862,111183.1121,116
3870.311111,13.33333333,128
4241.030303,31618.06061,46
3470.333333,45509.11111,28
9572.727273,3090.909091,49
4712.5,10800,6
14415.75,4770,22
5520.192308,8584.615385,30
34484,0,10
21080.9375,118803.75,27
17969.5,0,28
7741.230769,4735.384615,104
13654.89076,1588.235294,120
35898,0,9
10998.6625,193464.025,97
16604,123450,33
12915.4375,2700,16
22494.95,9762.35,20
34687,0,10
4798.714286,92657.14286,12
15814,0,7
913.5,43200,7
14517.70588,38654.58824,48
9586.458333,122400,24
31798,108602,5
10584.41509,31141.65094,115
34595,0,9
4316.681818,1513.681818,52
7753.235294,0,34
14119.15385,50907.76923,46
3645.75,16650,38
7688.24,1728,27
5419.333333,58600,20
5824.636364,15973.06061,53
34428,0,9
4316.666667,7200,20
15955.64103,24969.23077,56
10543.875,5850,36
2972.111111,14400,45
34350,0,9
4780.333333,50400,9
28023,11880,24
34517,0,9
5249.6,129600,51
8379.803922,196279.5098,51
2836,0,10
1383.875,187920,40
15313.3908,10208.67816,189
5232.454545,31418.18182,11
45448.7,172800,10
6932.727273,835.4090909,30
15806.71429,3150,43
4069.492063,96114.28571,82
3549,0,17
49370.6,67557.22222,61
10260.29762,16026.66667,96
7013.2,540,54
34864,0,9
5170.235294,14214.70588,38
4150.833333,7200.833333,21
4100,0,9
11880.33333,0,12
6383.772727,5404.848485,72
34201,0,10
34345,0,9
15127.18182,2277.272727,105
6781.638298,44390.21277,76
2559.984127,20124.7619,88
3568.666667,4800,24
10354.6,210275,20
3926,7800,24
2161.6,86400,43
4579.037037,1200,77
11245.40625,474266.2813,32
33592.30952,534342.8571,47
10316.59375,5662.5,105
6007.8,64479.2,11
6462.209302,507348.8372,44
34464,0,9
4300.222222,376824.2222,29
4783.526316,0,19
34609,0,9
1129.5,0,9
8600.728261,508.6956522,92
7632.142857,80228.57143,17
3165.666667,0,17
9046.681818,1971.818182,27
34435,0,10
3969.083333,101100,17
5998.571429,6300,37
16646.5,0,27
