33765|0
2069|0
25353|0
25358|0
25354|0
2007|0
209|1
1724|0
561|0
1112|0
873|0
9661|0
17831|0
1625|0
44517|0
1626|0
1018|0
1018|0
920|0
1626|0
172|0
175|0
253|0
11336|0
39387|0
1260|300
314|86400
2460|0
45283|0
506|0
1180|0
2230|0
2619|86400
1933|0
2087|0
417|0
2955|0
2133|0
1086|0
814|0
1861|0
5628|0
2178|0
2426|0
1639|300
55612|0
178|0
44|150
2801|0
44|150
44|150
521|86400
44|150
44|150
44|150
44|150
44|150
44|150
50|0
44|150
15675|43200
20804|60
94703|599
8772|599
1856|86681
35|0
61634|7200
43|0
2834|7200
10959|93020
770|86682
43|0
5564|604800
30396|86662
545|600
12693|0
6250|3600
12706|0
43|0
1|0
239|600
152946|7166
6639|0
11591|7166
6996|0
8923|600
1141|0
5993|600
53|0
2|0
7930|1800
48|0
238|0
1623|600
1724|0
233|0
1740|0
64|0
13606|0
346|7200
64|0
336|7200
179|0
7356|0
20|0
7181|0
12985|7200
64|0
1487|0
248|0
64|0
80|0
6074|86400
4780|86400
300|0
4588|86400
857|0
3565|86400
2860|0
4977|86400
42|0
2860|0
5629|86400
891|0
43|0
893|0
5361|86400
43|0
12813|0
7202|0
12753|0
707|0
12787|0
163|0
43|0
43|0
43|0
260|86400
3676|0
139|0
332|0
2072|0
1503|507385
2906|7200
3556|0
10873|507384
371|0
20|0
43|0
3561|0
34965|604800
6904|604800
4321|0
54765|604800
4322|0
32|0
4312|0
48|0
43|0
43|0
160|604800
4312|0
3122|604800
477|604800
34103|0
1418|7200
43|0
43|0
42|0
91|0
170|0
12|0
45913|0
9971|0
42|0
177|0
42|0
18815|3600
25453|604800
42|0
42|0
8184|0
8201|0
77|0
184|0
48456|0
15675|43200
14969|604800
16778|604800
207|0
43|0
3028|0
32|0
43|0
35|0
19341|604800
43|0
128|0
25511|0
14010|604800
10124|604800
10321|604800
891|35667
23578|604800
10507|604800
7093|604800
34388|0
27293|0
21082|604800
19297|0
80|0
42|0
43|0
42|0
43|0
48428|0
43|0
29733|0
43|0
21897|0
7298|604800
16568|0
7271|604800
34275|0
17525|0
6343|604800
19432|0
10176|604800
47087|0
14908|0
32296|0
15576|604800
154|0
7814|604800
25697|0
7988|604800
14908|70
30220|0
5903|604800
23991|0
6793|604800
38344|0
5439|604800
28824|0
43|0
25759|0
43|0
30653|0
2197|604800
44206|0
52213|0
2309|604800
29221|0
1094|604800
37229|0
27698|0
30616|0
30002|0
43542|0
30688|0
32170|0
26955|0
42511|0
35080|0
5616|0
40740|0
4985|0
28982|1800
95|0
310|70
35|0
245|70
44171|0
34140|0
43|0
2838|120
142|120
30963|0
6025|0
103|0
6047|0
5021|86400
7190|86400
2087|86400
3439|86400
1887|86400
75|0
299|0
43|0
34546|0
34200|0
3265|112
2288|374
7358|348
1097|386
6361|488
3037|494
37451|558
27988|305
40727|0
6254|371
39628|86400
3349|370
4829|86400
7486|337
8721|86400
328|372
10531|86400
1514|86400
2229|403
1275|86400
15051|335
5652|370
10095|0
10563|343
7809|0
24439|398
214|476
1485|2159
1187|370
14279|325
2521|461
1392|562
8522|0
2343|423
1188|409
206|1876
3043|2646
7455|2194
793|2198
1224|1856
4901|442
195|1993
3965|2748
54875|319
43|0
140|0
97306|3583
16820|0
7202|3038
12468|90
3045|2369
6799|348
12788|1808
13035|3430
4189|300
3391|3082
125|0
1921|86400
20333|2581
125|601
152987|2375
9451|697
36613|86400
200533|1981
7516|900
10892|2146
1500|74721
4446|2110
17719|0
764|376
2151|1995
4950|129
6021|2121
9360|675
183588|2745
7266|531
4350|2817
1860|0
16682|521
3911|1829
585|0
20224|643
192463|3502
8250|0
24952|722
226731|2019
27713|772
13821|1832
1877|0
36771|254
11628|133
1158|530
699|0
16642|350
115863|3148
10746|133
27332|83
25942|590
476|846
474|233
557|213
748|633
1247|253
998010|0
1594|749
131898|0
2161|577
289|804
8221|13545
17910|84845
907|31440
175|0
33|0
2194|819
76509|452406
6671|80
81385|450812
4904|516652
46759|616
2132|808
42|0
68|0
13030|0
42|0
44|0
67|0
162|0
67|0
42|0
327|0
162|0
327|0
9642|86400
33639|454
16550|596
37387|570
669|883
77|0
44|0
67|0
67|0
44|0
67|0
67|0
6069|0
6095|0
6122|0
57|0
42|0
43|0
43|0
57|0
43|0
178|0
1976|0
175|0
253|0
1296|0
39439|0
314|86400
2619|86400
4539|0
58072|1200
15675|43200
35|0
15675|43200
9917|0
35|0
34103|0
186|60
20|0
3241|0
3252|0
90|86400
