# date, startedDateTime,TTFB,renderStart,onContentLoaded,onLoad,fullyLoaded,visualComplete,PageSpeed,SpeedIndex,rank,reqTotal,reqHtml,reqJS,reqCSS,reqImg,reqGif,reqJpg,reqPng,reqFont,reqFlash,reqJson,reqOther,bytesTotal,bytesHtml,bytesJS,bytesCSS,bytesImg,bytesGif,bytesJpg,bytesPng,bytesFont,bytesFlash,bytesJson,bytesOther,bytesHtmlDoc,numDomains,maxDomainReqs,numRedirects,numErrors,numGlibs,numHttps,numCompressed,numDomElements,maxageNull,maxage0,maxage1,maxage30,maxage365,maxageMore
2013-05-01.csv,3.768229567,0,2.917033094,0,3.195117946,3.235834302,3.320354897,0,3.307878897,2.76196851,3.45706086,3.585125784,3.389261816,3.404327519,3.277752064,3.132982591,2.749282166,3.342443107,1.525075219,0,0,2.917629299,3.306081968,2.968862376,3.216432534,2.935379143,3.088465972,0.908184239,2.902702331,3.001631614,1.353192128,0,0,2.086142991,3.198016423,3.580312991,3.30960719,3.29899311,0.021053397,1.731923519,1.948371959,3.539082201,0,0,3.448461686,2.668203943,2.317118461,2.90230754,1.954680129
2013-05-15.csv,3.768229567,0,3.387801204,0,3.308122818,3.332506527,3.394347184,0,3.532250014,2.697400253,3.416735123,3.537271414,3.403586031,3.437376997,3.205566833,3.139707735,2.701854215,3.297107792,1.653032943,0,0,2.895652645,3.280708564,2.988512594,3.17484315,2.924474451,3.064398183,1.613068595,2.786382608,2.999071989,1.519197559,0,0,1.611718644,3.187835076,3.587273007,3.239048939,3.361431884,0.644021569,1.731728698,2.154407354,3.548528743,0,0,3.453831936,2.620990391,2.290086897,2.909329197,1.80153085
2013-06-01.csv,3.768229566,0,3.384664446,0,3.389143038,3.414694291,3.496098299,0,3.554459134,2.66704945,3.424014034,3.624765007,3.419141497,3.412388185,3.196748756,3.080064713,2.654387037,3.283012711,1.653032943,0,0,3.031068443,3.361462235,2.937598433,3.271876995,2.943203821,3.156249289,1.529759271,2.808235569,3.012787289,1.522633416,0,0,2.175956707,3.130535505,3.594006821,3.253090524,3.423942292,0,1.719258015,2.082473117,3.538273962,0,0,3.490104139,2.668890879,2.454331321,2.907953521,1.707707067
2013-06-15.csv,3.768229568,0,3.343365574,0,3.042203181,3.094887397,3.367405573,0,3.51168198,2.701449251,3.41654092,3.607132304,3.402903402,3.365424415,3.183771139,3.148155379,2.670302211,3.29243166,1.653032943,0,0,3.077363225,3.332147954,2.9493732,3.224016788,2.864016032,3.125831628,2.107553269,2.777863898,3.0277887,1.522633416,0,0,2.255343093,3.172110624,3.59124387,3.226085087,3.448808298,0,1.719258015,2.235050731,3.532077985,0,0,3.501149326,2.669813655,2.333613826,2.875154445,1.784701789
2013-07-01.csv,3.768229566,0,3.557341199,0,3.508110888,3.523404882,3.621166114,0,3.662323256,2.686913545,3.487925333,3.578729358,3.430158419,3.424511571,3.283893543,3.113899794,2.804527418,3.223907624,1.653032943,0,0,3.048587862,3.364770143,2.875779455,3.210712991,2.954122504,3.16791593,1.682323453,2.831271975,2.897500264,1.522633416,0,0,2.140673003,3.177825314,3.589105194,3.268236088,3.397816767,0,1.731923519,2.28558554,3.541710092,0,0,3.479652864,2.646629854,2.511275682,2.905994044,1.799565155
2013-07-15.csv,3.768229567,0,3.44843644,0,3.499847915,3.502801967,3.527366701,0,3.576949672,2.635702454,3.49393795,3.583878931,3.428803849,3.404686149,3.286656842,3.095434416,2.812670375,3.228587481,1.653032943,0,0,2.973265032,3.387518719,2.904651533,3.225492785,2.941792367,3.194386906,2.288168059,2.891896839,2.931669117,1.522633416,0,0,2.237987028,3.197312384,3.582710031,3.295604012,3.409190718,0,1.731923519,2.18984361,3.554527741,0,0,3.450014175,2.637805842,2.492894054,2.902403848,1.819044221
2013-08-01.csv,3.768229568,0,3.351847075,0,3.222240439,3.248777046,3.431524394,0,3.488186354,2.534068938,3.48722691,3.589763266,3.432554266,3.3733433,3.276060923,3.132261118,2.769935799,3.296188452,1.775991976,0,0,3.03244754,3.338449182,2.898043296,3.220882511,2.863908017,3.146189915,1.294935899,2.845456091,3.020635412,1.668592569,0,0,2.311547692,3.170030745,3.578466245,3.30007091,3.408398495,0,1.719258015,2.202298544,3.56946431,0,0,3.486611629,2.608747975,2.567062858,2.897941468,
2013-08-15.csv,3.768229568,0,2.909545325,0,3.025997637,2.907865722,3.171000167,0,3.212207736,2.43927966,3.493991638,3.572750097,3.415365967,3.404686149,3.278737539,3.142749163,2.756719233,3.291726644,1.775991976,0,0,2.944861618,3.405804622,2.871190877,3.255472772,2.939991252,3.190468299,1.596718844,2.786978522,3.004783572,1.668592569,0,0,2.316500087,3.175916531,3.583840719,3.322523048,3.376812064,0.021053397,1.731923519,2.190643212,3.560309943,0,0,3.484706198,2.693285354,2.537466961,2.905842741,
2013-09-01.csv,3.768229568,0,3.241048723,0,3.329341715,3.045066255,3.424681379,0,3.495294413,2.398316943,3.48926675,3.540877904,3.393495746,3.45496587,3.262185664,3.174864567,2.712049046,3.284358871,1.992007819,0,0,3.015697927,3.392423273,2.850695878,3.163650648,2.92172427,3.171454559,1.761505258,2.778230062,3.001727756,1.992631041,0,0,2.228323716,3.166613744,3.594862837,3.298056708,3.413018538,0.021053397,1.997889236,2.199852781,3.561611002,0,0,3.491116658,2.695563794,2.54613518,2.932945555,
2013-09-15.csv,3.768229568,0,3.170848646,0,3.362367691,3.072572948,3.452489982,0,3.467939082,2.415142519,3.497567441,3.555039005,3.399008259,3.445402163,3.264527802,3.156454448,2.732186536,3.276098007,2.019911438,0,0,3.045523688,3.431337138,2.875347368,3.222560422,2.799215042,3.224034142,1.641230755,2.88119554,3.051439296,1.938732466,0,0,2.15615738,3.191265177,3.598472866,3.305200254,3.427615969,0.021053397,2.000819048,2.197914644,3.554926919,0,0,3.478839245,2.765489075,2.573523801,2.938713974,
2013-10-01.csv,3.768229568,0,3.371273347,0,3.443877418,3.120696161,3.542244741,0,3.571899199,2.374907492,3.482228483,3.540793793,3.37205595,3.434117039,3.25641893,3.125100695,2.720181588,3.299535428,1.992007819,0,0,3.084496267,3.339469772,2.87235809,3.191307706,2.764220308,3.152963926,1.368142853,2.895861633,3.051106962,1.755531267,0,0,2.23010009,3.219698304,3.600324437,3.30088415,3.460315069,0,1.997889236,2.16460421,3.554892616,0,0,3.498267861,2.760244655,2.579831069,2.900636874,
2013-10-15.csv,3.768229567,0,3.528899741,0,3.518239935,3.476275923,3.577842106,0,3.632815027,2.338601432,3.46693978,3.482875356,3.365953145,3.436580306,3.25832655,3.131812176,2.737142854,3.283484531,2.019911438,0,0,3.058904303,3.373425999,2.682596042,3.16567754,2.793297066,3.241182611,1.57547106,2.901051319,3.02476003,1.763074876,0,0,2.265973412,3.200446594,3.602796144,3.277117717,3.434172154,0,2.000819048,2.18105989,3.490111316,0,0,3.508809529,2.664818341,2.531655662,2.940004163,
2013-11-01.csv,3.768229566,0,3.542841727,0,3.52442443,3.471416781,3.567851559,0,3.650826326,2.313088757,3.494932116,3.542032999,3.398128126,3.43390435,3.268794093,3.196075393,2.740138925,3.257561256,1.992007819,0,0,3.054495862,3.347666807,2.884271117,3.175063056,2.801566166,3.159645501,1.425625946,2.884068991,2.863680753,1.878608531,0,0,2.240293983,3.170302393,3.606208013,3.295748685,3.431886195,0.021053397,2.000819048,2.164243837,3.551134002,0,0,3.522653774,2.849282503,2.496438836,2.971574503,
2013-11-15.csv,3.768229567,0,3.389517949,0,3.510037639,3.473330092,3.609210742,0,3.567706521,2.362695692,3.528742729,3.587195427,3.41594993,3.409980645,3.325067539,3.181926076,2.875594707,3.197166552,1.992007819,0,0,3.124098954,3.43000377,2.903053502,3.23002845,2.813059308,3.264909469,1.786467025,3.006139042,2.882162133,1.878608531,0,0,2.127482355,3.23570515,3.607366754,3.363007672,3.422056931,0,1.874543907,2.074210691,3.54425504,0,0,3.539005094,2.767144461,2.488250724,2.934018793,
2013-12-15.csv,3.768229567,0,3.517247558,0,3.581337729,3.510379502,3.603696514,0,3.620169701,2.453079842,3.506411553,3.53909171,3.407632793,3.48003246,3.290079884,3.144250842,2.749067306,3.328850047,1.888489184,0,0,3.076708997,3.298455603,2.868057574,3.200817119,2.80269432,3.077831694,1.527301491,2.771200126,2.912998925,1.734949736,0,0,2.233889095,3.168915026,3.602652074,3.336642114,3.450668567,0,1.951333308,2.124866895,3.541730493,0,0,3.509324338,2.739987226,2.628455341,2.932986219,
