# date,startedDateTime,TTFB,renderStart,onContentLoaded,onLoad,fullyLoaded,visualComplete,PageSpeed,SpeedIndex,rank,reqTotal,reqHtml,reqJS,reqCSS,reqImg,reqGif,reqJpg,reqPng,reqFont,reqFlash,reqJson,reqOther,bytesTotal,bytesHtml,bytesJS,bytesCSS,bytesImg,bytesGif,bytesJpg,bytesPng,bytesFont,bytesFlash,bytesJson,bytesOther,bytesHtmlDoc,numDomains,maxDomainReqs,numRedirects,numErrors,numGlibs,numHttps,numCompressed,numDomElements,maxageNull,maxage0,maxage1,maxage30,maxage365,maxageMore,gzipTotal,gzipSavings
2012-12-15.csv,3.768229568,3.48036633,3.52854763,0,3.571458287,3.391073832,3.482223771,3.765434502,3.597621878,3.049742388,3.512293006,3.388918923,3.327902398,3.37352904,3.499017219,3.244531814,3.265883568,3.453596996,1.824696126,2.612940034,0,2.779851742,3.132407236,3.34073289,3.443976399,3.091057306,2.968421785,2.876503578,2.784288391,2.898230978,1.69603623,2.524541912,0,1.522064307,3.348685996,3.518797093,3.516359487,2.952510681,0.021053397,2.123736777,2.333559947,3.430162503,3.421228868,0,3.398092264,2.868074676,2.781402324,3.099053088,2.22521615,3.095429373,2.111631793
2013-01-01.csv,3.768229568,3.479993339,3.611047608,0,3.598442541,3.428648415,3.479628234,3.765375641,3.640794851,3.030579356,3.510725227,3.370768095,3.348484563,3.403428388,3.479960315,3.183310581,3.26034134,3.426689856,1.785979093,2.433558147,0,2.882065873,3.137812304,3.315098082,3.485177608,3.093497184,2.946440359,1.878042546,2.758449903,3.089895802,1.667602681,2.012973422,0,1.002433755,3.290225766,3.547327996,3.507348625,2.430754154,0.021053397,2.117325136,2.30780032,3.450827969,3.418603074,0,3.341392926,2.833196078,2.777463145,3.101936442,2.214634062,2.839367016,2.643014582
2013-01-15.csv,3.768229568,3.41987497,3.578768889,0,3.561975972,3.456842354,3.544104595,3.765085295,3.61223402,3.036038292,3.513387944,3.351380294,3.334864621,3.505829284,3.47951424,3.178231896,3.238782847,3.426655361,1.785979093,2.518569338,0,2.988522444,3.190855839,3.35375577,3.469989199,3.091743414,2.905430893,2.367165736,2.591111347,3.047716894,1.667602681,2.434209,0,1.468224961,3.335727129,3.542290459,3.511165893,2.567947465,0.644021569,2.117325136,2.306968689,3.455098241,3.417618934,0,3.359599,2.88687026,2.811983152,3.111959394,2.287263134,3.248989671,2.489394733
2013-02-01.csv,3.768229568,2.613946113,3.257413793,0,3.444299727,3.470092352,3.425446292,3.764347061,3.392802435,2.97915212,3.511370173,3.387416064,3.337180121,3.428610902,3.47881301,3.195817087,3.267225902,3.410154348,1.785979093,2.507205284,0,2.95577919,3.215956481,3.382306519,3.458017834,3.099665161,2.970660631,1.532238672,2.816673436,3.020368628,1.667636246,2.339556431,0,1.310878031,3.361513789,3.552485749,3.521597096,2.542808951,0.021053397,2.20680282,2.605123393,3.44284697,3.424507711,0,3.36053676,2.776365368,2.75463751,3.10344927,2.168136346,3.288351071,2.720416812
2013-02-15.csv,3.768229568,2.804499177,3.431410211,0,3.441014368,3.462522985,3.44138023,3.763085682,3.507210428,2.903176812,3.514597478,3.389292889,3.357607005,3.423225872,3.489214161,3.225022731,3.276389058,3.427297948,1.785979093,2.280716525,0,2.952999614,3.18223222,3.38376021,3.49203381,3.092874149,2.98395182,2.378917807,2.729168114,2.94311774,1.667015465,1.982104732,0,1.115393716,3.34671637,3.541875097,3.51914628,2.463433543,1.096287778,2.117325136,2.491730367,3.470471646,3.42362482,0,3.318946234,2.888513422,2.72694992,3.061836745,2.140553667,3.316563876,2.783893095
2013-03-01.csv,3.768229567,3.502243126,3.615998548,0,3.414188833,3.409215326,3.442250493,3.763016821,3.616075331,2.83675605,3.557253663,3.44176578,3.374635104,3.504064107,3.504901218,3.309888009,3.254868267,3.44011784,1.785979093,2.433558147,0,3.296438053,3.115854386,3.378130729,3.475228466,3.093629456,2.981902001,2.626850181,2.756167833,2.962392672,1.666982652,2.178881167,0,1.351152523,3.348652236,3.593118069,3.526842343,3.216961774,0.510805188,2.047488829,2.559955943,3.51038281,3.426737431,0,3.532794721,2.812705178,2.764642268,3.02492154,2.20213108,2.938503251,2.715376816
2013-03-15.csv,3.768229568,3.611139054,3.634464843,0,3.412372751,3.381410068,3.454566641,3.762479602,3.626145697,2.759259625,3.532478208,3.395862781,3.378659383,3.440738494,3.502714156,3.233974692,3.277330135,3.449768517,1.785979093,2.561625944,0,2.85278519,3.052866219,3.264675485,3.470897665,3.094327372,2.91746388,2.540187437,2.690665824,2.937413691,1.666995779,1.939138486,0,0.925244925,3.121156698,3.554700505,3.531086798,2.432560241,0.021053397,2.26014605,2.546664749,3.504989709,3.423486607,0,3.333534972,2.847092849,2.864172819,3.059414406,2.130373433,3.11678522,2.613885963
2013-04-01.csv,3.768229568,3.59644012,3.651998343,0,3.530539205,3.553076992,3.55618818,3.762792587,3.65388931,2.758604306,3.51359271,3.338246293,3.352085066,3.427085531,3.487420376,3.216552776,3.237841932,3.451107818,1.7844731,2.287676998,0,2.805059876,3.07319276,3.427183086,3.447199681,3.069686754,2.873332171,2.845149431,2.57826842,3.09752735,1.667019365,1.88770705,0,1.048790282,3.362190622,3.542888975,3.534082406,2.411911679,0.699450397,2.26014605,2.535292762,3.485619015,3.408080256,0,3.293886092,2.841750698,2.734409801,3.036559179,2.088088813,3.086298189,2.431360105
2013-04-15.csv,3.768229568,3.587158087,3.645885083,0,3.474368018,3.559318221,3.514063875,3.762842097,3.651202663,2.785515793,3.529971902,3.325599588,3.358518181,3.436930062,3.506195411,3.243513328,3.294254022,3.476959786,1.7844731,2.302819972,0,2.977428813,3.069360303,3.403290884,3.473607677,3.313024412,2.73620952,1.868642232,2.47648234,3.065576118,1.667019365,2.194637441,0,1.184946191,3.372179194,3.530545987,3.552727236,2.655112407,0.699450397,2.202673466,2.583809635,3.475453157,3.421043944,0,3.386848307,2.797584396,2.775143288,3.077392508,2.089225706,3.377484462,2.99429816
2013-05-01.csv,3.768229568,3.557296699,3.669040969,0,3.598879831,3.617733985,3.581282427,3.76280042,3.685897309,2.76196851,3.520026244,3.324035082,3.370135455,3.515351324,3.498610125,3.199611268,3.274699916,3.51921293,1.75119836,2.118161718,0,2.943443449,3.431363747,3.408932808,3.48953518,3.348255589,3.388631123,1.894951902,3.335882096,3.155873159,1.650457127,1.893060769,0,0.289344729,3.400442849,3.50884577,3.569699929,2.609919545,0,2.246901684,2.472675243,3.502026368,3.402885547,0,3.342245418,2.76532416,2.744554133,3.046532302,2.224338595,3.366592296,3.02427479
